x;y
108;122
101;119
97;117
94;115
87;112
83;109
80;105
76;102
73;99
65;92
61;88
57;83
52;79
43;70
39;65
35;62
33;58
28;52
25;48
23;45
20;41
14;32
11;27
8;23
5;18
2;10
2;4
2;0
2;-2
1;-9
0;-13
-1;-17
-4;-26
-5;-30
-9;-34
-15;-43
-18;-48
-21;-53
-24;-57
-25;-62
-25;-63
-25;-63
-25;-63
-28;-63
-35;-63
-35;-63
-43;-63
-47;-63
-50;-63
-53;-64
-58;-67
-60;-69
-63;-71
-65;-72
-65;-77
-65;-80
-65;-82
-65;-85
-65;-90
-65;-93
-65;-97
-65;-100
-65;-103
-65;-110
-65;-112
-65;-113
-65;-116
-65;-118
-67;-119
-70;-119
-74;-119
-77;-119
-79;-119
-80;-119
-80;-119
-80;-116
-80;-113
-80;-109
-80;-106
-80;-98
-80;-96
-80;-95
-80;-94
-81;-91
-85;-90
-88;-89
-90;-89
-96;-89
-98;-90
-98;-92
-98;-96
-97;-98
-96;-100
-95;-102
-95;-102
-93;-102
-93;-102
-93;-102
-93;-102
-93;-102
-93;-102
-93;-102
-93;-102
-93;-102
-93;-102
-93;-102
-93;-102
-93;-102
-93;-102
-93;-102
