x;y
156;-115
156;-114
156;-113
156;-110
156;-109
156;-108
156;-107
152;-104
146;-101
143;-99
139;-97
136;-93
133;-90
126;-83
122;-80
118;-81
114;-83
111;-86
106;-91
103;-93
101;-92
97;-84
97;-80
97;-76
97;-73
97;-64
96;-59
93;-56
89;-53
82;-46
77;-41
72;-36
75;-26
80;-22
84;-17
89;-22
94;-27
94;-36
89;-41
84;-45
79;-41
75;-36
70;-31
60;-21
56;-17
51;-12
46;-7
38;1
32;8
28;11
25;13
22;16
18;18
13;20
5;25
0;27
-3;29
-8;31
-12;34
-21;38
-25;40
-29;43
-34;45
-43;49
-47;52
-50;55
-54;58
-60;65
-62;68
-64;71
-67;73
-72;77
-74;79
-76;81
-80;85
-82;87
-84;89
-87;94
-88;96
-90;96
-93;96
-93;96
-93;96
-93;96
-93;96
-93;96
-93;96
-93;96
-93;96
-93;96
-93;96
-93;96
-93;96
-93;96
-93;96
-93;96
-93;96
-94;97
-99;100
-108;106
-112;109
-126;118
-135;124
-140;126
-144;129
-144;130
-137;130
-133;130
-130;130
-126;130
-119;130
-115;130
-111;130
