x;y
-108;130
-103;126
-100;117
-99;113
-98;109
-96;100
-98;95
-103;91
-111;82
-116;78
-120;73
-120;69
-111;60
-107;55
-102;51
-98;47
-100;47
-103;47
-107;47
-111;47
-116;47
-112;47
-109;47
-105;47
-98;47
-95;47
-98;47
-102;47
-106;47
-113;47
-116;47
-114;47
-110;49
-102;51
-98;52
-94;54
-87;55
-83;55
-79;55
-76;55
-69;55
-64;57
-60;59
-46;66
-42;69
-39;70
-36;70
-29;70
-26;70
-23;70
-19;71
-10;75
-6;77
-2;79
9;83
13;83
16;83
23;83
20;83
6;89
-2;93
9;97
14;98
18;99
26;102
33;102
41;102
44;102
36;104
27;107
27;111
30;112
42;117
